artists,songs,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,happy/sad
Shannon,Give Me Tonight,0.697,0.979,9,-7.262,0,0.0538,0.0199,0.0127,0.317,0.583,119.083,audio_features,4KhOfYSg4ULCbTjCLj3EB2,spotify:track:4KhOfYSg4ULCbTjCLj3EB2,https://api.spotify.com/v1/tracks/4KhOfYSg4ULCbTjCLj3EB2,https://api.spotify.com/v1/audio-analysis/4KhOfYSg4ULCbTjCLj3EB2,233493,4,0
Poison,I Won't Forget You,0.287,0.84,6,-3.947,1,0.0404,0.0551,0.0225,0.21,0.648,202.903,audio_features,6WmVgLj2htklkU3SZOsItg,spotify:track:6WmVgLj2htklkU3SZOsItg,https://api.spotify.com/v1/tracks/6WmVgLj2htklkU3SZOsItg,https://api.spotify.com/v1/audio-analysis/6WmVgLj2htklkU3SZOsItg,214373,4,0
Cinderella,Heartbreak Station,0.592,0.523,7,-8.158,1,0.0273,0.276,0.334,0.147,0.252,114.665,audio_features,1nWBkfPwFn4bHrCvIjxIB8,spotify:track:1nWBkfPwFn4bHrCvIjxIB8,https://api.spotify.com/v1/tracks/1nWBkfPwFn4bHrCvIjxIB8,https://api.spotify.com/v1/audio-analysis/1nWBkfPwFn4bHrCvIjxIB8,268987,4,0
U2,With or Without You,0.543,0.432,2,-11.832,1,0.0288,0.000207,0.369,0.146,0.107,110.196,audio_features,4ha9ajL4Kz98uldAfuos6p,spotify:track:4ha9ajL4Kz98uldAfuos6p,https://api.spotify.com/v1/tracks/4ha9ajL4Kz98uldAfuos6p,https://api.spotify.com/v1/audio-analysis/4ha9ajL4Kz98uldAfuos6p,295516,4,0
Billie Holiday,You've Changed,0.321,0.291,0,-14.861,0,0.0365,0.776,0.000129,0.277,0.305,94.325,audio_features,6pyIYkI6eckBahwLKnAfHG,spotify:track:6pyIYkI6eckBahwLKnAfHG,https://api.spotify.com/v1/tracks/6pyIYkI6eckBahwLKnAfHG,https://api.spotify.com/v1/audio-analysis/6pyIYkI6eckBahwLKnAfHG,197093,3,0
P. Diddy & Faith Evans,I'll Be Missing You,0.833,0.619,7,-5.595,1,0.0538,0.111,2.13e-05,0.159,0.901,109.92,audio_features,1yy2DlSDtEt90d54rPDPXz,spotify:track:1yy2DlSDtEt90d54rPDPXz,https://api.spotify.com/v1/tracks/1yy2DlSDtEt90d54rPDPXz,https://api.spotify.com/v1/audio-analysis/1yy2DlSDtEt90d54rPDPXz,306560,4,0
Tammy Wynette,I Don't Wanna Play House,0.546,0.258,7,-12.894,1,0.0317,0.806,1.06e-05,0.165,0.464,100.683,audio_features,0mSywazXcVFQZRk2Gg9ImX,spotify:track:0mSywazXcVFQZRk2Gg9ImX,https://api.spotify.com/v1/tracks/0mSywazXcVFQZRk2Gg9ImX,https://api.spotify.com/v1/audio-analysis/0mSywazXcVFQZRk2Gg9ImX,154627,4,0
George Jones,He Stopped Loving Her Today,0.333,0.232,8,-14.605,1,0.0366,0.785,0.000548,0.252,0.398,144.788,audio_features,4BcrWCZPXuoGU0SnAsJW1s,spotify:track:4BcrWCZPXuoGU0SnAsJW1s,https://api.spotify.com/v1/tracks/4BcrWCZPXuoGU0SnAsJW1s,https://api.spotify.com/v1/audio-analysis/4BcrWCZPXuoGU0SnAsJW1s,197400,4,0
Paul Anka,Times of Your Life,0.335,0.326,7,-13.855,1,0.0286,0.715,0,0.203,0.416,152.738,audio_features,3qLEJWPDvlgJM2eOXGBPbw,spotify:track:3qLEJWPDvlgJM2eOXGBPbw,https://api.spotify.com/v1/tracks/3qLEJWPDvlgJM2eOXGBPbw,https://api.spotify.com/v1/audio-analysis/3qLEJWPDvlgJM2eOXGBPbw,192733,4,0
Barry Manilow,It's A Miracle,0.761,0.856,8,-7.89,1,0.0491,0.182,0.00233,0.0943,0.952,129.957,audio_features,5msiq1S3XHhfghBU3xOYxC,spotify:track:5msiq1S3XHhfghBU3xOYxC,https://api.spotify.com/v1/tracks/5msiq1S3XHhfghBU3xOYxC,https://api.spotify.com/v1/audio-analysis/5msiq1S3XHhfghBU3xOYxC,231493,4,1
Soundgarden,Zero Chance,0.457,0.569,7,-9.87,1,0.0266,0.00359,5.06e-06,0.0746,0.219,137.28,audio_features,2E7EVzgwxA6PtmBIXeaiV7,spotify:track:2E7EVzgwxA6PtmBIXeaiV7,https://api.spotify.com/v1/tracks/2E7EVzgwxA6PtmBIXeaiV7,https://api.spotify.com/v1/audio-analysis/2E7EVzgwxA6PtmBIXeaiV7,258373,4,0
Garth Brooks,If Tomorrow Never Comes,0.5,0.191,7,-10.396,1,0.0565,0.819,0,0.852,0.423,149.196,audio_features,7MOsr4iEUasjzY2Uiktu0m,spotify:track:7MOsr4iEUasjzY2Uiktu0m,https://api.spotify.com/v1/tracks/7MOsr4iEUasjzY2Uiktu0m,https://api.spotify.com/v1/audio-analysis/7MOsr4iEUasjzY2Uiktu0m,244413,4,0
Bill Withers,Ain't No Sunshine,0.479,0.416,4,-11.451,0,0.124,0.457,1.72e-05,0.118,0.514,79.593,audio_features,1k1Bqnv2R0uJXQN4u6LKYt,spotify:track:1k1Bqnv2R0uJXQN4u6LKYt,https://api.spotify.com/v1/tracks/1k1Bqnv2R0uJXQN4u6LKYt,https://api.spotify.com/v1/audio-analysis/1k1Bqnv2R0uJXQN4u6LKYt,125093,4,0
New Order,Love Vigilantes,0.548,0.894,7,-5.988,1,0.0349,0.00702,6.29e-06,0.081,0.8,136.12,audio_features,1gsQmDnyXfq6jPIXYCPKHB,spotify:track:1gsQmDnyXfq6jPIXYCPKHB,https://api.spotify.com/v1/tracks/1gsQmDnyXfq6jPIXYCPKHB,https://api.spotify.com/v1/audio-analysis/1gsQmDnyXfq6jPIXYCPKHB,259307,4,0
Sinead O'Connor,Streets of London,0.363,0.266,0,-17.448,1,0.0349,0.742,0.00442,0.101,0.17,122.939,audio_features,7HjWNqFPBwAwX43PQkvwGr,spotify:track:7HjWNqFPBwAwX43PQkvwGr,https://api.spotify.com/v1/tracks/7HjWNqFPBwAwX43PQkvwGr,https://api.spotify.com/v1/audio-analysis/7HjWNqFPBwAwX43PQkvwGr,252640,4,0
REM,Nightswimming,0.566,0.385,7,-11.272,1,0.0304,0.796,7.63e-06,0.103,0.571,114.227,audio_features,6G0NzOx2jEPFsSmhr9N8Ys,spotify:track:6G0NzOx2jEPFsSmhr9N8Ys,https://api.spotify.com/v1/tracks/6G0NzOx2jEPFsSmhr9N8Ys,https://api.spotify.com/v1/audio-analysis/6G0NzOx2jEPFsSmhr9N8Ys,258067,4,0
